                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 0.4472,                0.41553,                0.99988,                0.88162,                0.76206,                0.81701,                0.63948,                0.88476,                0.88448,                 1.3499,               0.002014,               0.002014,               0.002014
                    123,                0.44639,                0.41456,                 0.9899,                0.89972,                0.74419,                0.81099,                0.63555,                0.85655,                0.90623,                 1.3047,               0.001948,               0.001948,               0.001948
                    124,                0.44799,                0.42471,                0.98641,                0.88144,                0.77209,                0.81778,                0.64038,                0.84798,                0.82637,                 1.2995,               0.001882,               0.001882,               0.001882
                    125,                0.43469,                0.40602,                0.97618,                0.89903,                0.74884,                0.82462,                0.64437,                0.86908,                0.79141,                 1.3122,               0.001816,               0.001816,               0.001816
                    126,                0.43913,                0.41431,                 1.0006,                0.91407,                0.74884,                0.82265,                0.63741,                 0.8659,                0.83899,                 1.3024,                0.00175,                0.00175,                0.00175
                    127,                 0.4367,                 0.4083,                0.98238,                0.89011,                0.75348,                0.81932,                0.64043,                0.86392,                0.85235,                 1.2944,               0.001684,               0.001684,               0.001684
                    128,                0.43092,                0.40432,                0.99204,                0.87052,                0.74419,                0.80974,                0.62804,                0.82222,                0.86862,                 1.2493,               0.001618,               0.001618,               0.001618
                    129,                0.42436,                 0.4013,                0.98357,                0.86975,                0.77674,                0.83002,                0.64541,                0.82328,                0.87675,                 1.2772,               0.001552,               0.001552,               0.001552
                    130,                0.41548,                 0.3919,                0.97779,                0.90294,                0.75349,                0.83182,                0.65228,                0.84432,                0.88553,                 1.2966,               0.001486,               0.001486,               0.001486
                    131,                0.44163,                 0.4115,                0.99222,                0.88174,                0.76293,                0.82236,                0.64623,                 0.8201,                0.82542,                 1.2584,                0.00142,                0.00142,                0.00142
                    132,                0.42869,                0.40484,                0.97596,                0.88695,                0.74419,                0.81995,                0.64699,                0.84409,                0.84762,                 1.2759,               0.001354,               0.001354,               0.001354
                    133,                0.42134,                0.38843,                0.98147,                0.88543,                0.75486,                0.82493,                0.64269,                0.84088,                0.85421,                 1.2782,               0.001288,               0.001288,               0.001288
                    134,                0.41483,                0.39475,                0.98232,                0.90643,                0.75814,                0.82822,                0.63885,                0.83872,                0.82841,                 1.2954,               0.001222,               0.001222,               0.001222
                    135,                0.40218,                0.37537,                0.96599,                0.90627,                0.74884,                0.82298,                0.63957,                0.83487,                0.82404,                 1.2832,               0.001156,               0.001156,               0.001156
                    136,                0.41644,                0.39354,                0.98357,                0.90944,                0.72558,                0.82693,                0.64381,                0.84781,                0.82757,                 1.2983,                0.00109,                0.00109,                0.00109
                    137,                0.40113,                0.38599,                0.96767,                0.92292,                0.73488,                0.83519,                0.64819,                0.82192,                0.81041,                 1.2809,               0.001024,               0.001024,               0.001024
                    138,                0.42913,                0.39497,                 1.0046,                0.88682,                 0.7653,                0.84013,                0.65678,                0.80805,                0.77915,                 1.2521,               0.000958,               0.000958,               0.000958
                    139,                0.40849,                0.38033,                0.96541,                 0.8438,                0.77674,                0.83731,                 0.6543,                0.83167,                0.80811,                 1.2678,               0.000892,               0.000892,               0.000892
                    140,                0.33283,                0.35154,                0.89801,                0.86333,                0.76394,                0.81879,                0.62569,                0.87002,                0.82409,                  1.331,               0.000826,               0.000826,               0.000826
                    141,                0.32664,                0.30707,                0.89862,                0.89464,                0.75037,                0.81549,                0.62983,                0.88043,                 0.8168,                 1.3586,                0.00076,                0.00076,                0.00076
                    142,                0.31167,                0.29517,                 0.8946,                  0.903,                0.73607,                0.81276,                0.62511,                0.84952,                0.81571,                 1.3004,               0.000694,               0.000694,               0.000694
                    143,                0.31518,                0.29057,                0.89946,                0.89145,                0.74884,                0.81795,                0.63046,                0.87237,                0.80591,                  1.358,               0.000628,               0.000628,               0.000628
                    144,                0.30433,                0.26952,                0.89047,                0.91402,                0.73023,                0.81651,                0.62647,                0.87676,                0.82073,                 1.3594,               0.000562,               0.000562,               0.000562
                    145,                0.29605,                0.26427,                0.87731,                0.87626,                0.75756,                0.82138,                0.63506,                0.84528,                0.82956,                 1.3039,               0.000496,               0.000496,               0.000496
                    146,                0.29006,                0.26586,                0.88303,                0.85865,                0.76285,                0.82023,                0.64557,                0.84196,                0.81585,                 1.2898,                0.00043,                0.00043,                0.00043
                    147,                 0.2995,                0.27705,                0.88665,                0.87486,                0.76744,                0.82467,                0.64678,                 0.8477,                0.82552,                 1.3006,               0.000364,               0.000364,               0.000364
                    148,                0.29222,                0.26081,                 0.8813,                0.88173,                0.76289,                0.82384,                0.64357,                0.84943,                0.81658,                 1.2986,               0.000298,               0.000298,               0.000298
                    149,                0.28873,                0.26864,                0.87811,                0.88654,                0.76279,                0.82295,                0.64323,                0.83888,                0.79114,                 1.2886,               0.000232,               0.000232,               0.000232
